案件編號,發生日期,GPS經度,GPS緯度,案件類別名稱,地址類型名稱,發生縣市名稱,受傷人數,天候名稱, 速限-第1當事者,道路型態大類別名稱,事故位置大類別名稱,號誌-號誌種類名稱,事故類型及型態大類別名稱,肇因研判子類別名稱-主要
11001AC191B2862,20210128,120.235884,22.962622,交通事故,其他,臺南市東區段號崇善路與德東街口,2,晴,30,交岔路,交叉路口,行車管制號誌,車與車,變換車道或方向不當
11001AC191B2879,20210128,120.223815,22.974688,交通事故,一般地址,臺南市東區中華東路3段275號,1,晴,40,單路部分,路段,無號誌,車與車,未保持行車安全距離
11001AC191B2881,20210127,120.225682,22.971586,交通事故,交叉路口,臺南市東區崇明路段號崇明十五街,4,晴,50,交岔路,交叉路口,無號誌,車與車,未依規定讓車
11001AC191B2891,20210128,120.225549,22.99077,交通事故,一般地址,臺南市東區東寧路段246號,1,晴,40,交岔路,交叉路口,行車管制號誌,車與車,未保持行車安全距離
11001AC191B2896,20210128,120.222058,22.986339,交通事故,交叉路口,臺南市東區衛國街段號衛國街13,2,晴,30,交岔路,交叉路口,無號誌,車與車,未依規定讓車
11001AC191B2900,20210126,120.218925,22.986596,交通事故,交叉路口,臺南市東區東門路1段號東榮街,1,晴,40,交岔路,交叉路口,行車管制號誌,車與車,左轉彎未依規定
11001AC191B2902,20210127,120.221721,22.98588,交通事故,一般地址,臺南市東區東門路2段113號,1,晴,50,交岔路,交叉路口,行車管制號誌,車與車,未注意車前狀態
11001AC191B2908,20210127,120.215837,22.967359,交通事故,交叉路口,臺南市東區大同路2段號國民路,3,晴,60,交岔路,交叉路口,行車管制號誌,車與車,未依規定減速
11001AC191B2932,20210116,120.233901,22.996341,交通事故,交叉路口,臺南市東區莊敬路段158號東平路12,3,晴,30,交岔路,交叉路口,無號誌,車與車,未靠右行駛
11001AC191B2933,20210128,120.224814,22.984505,交通事故,交叉路口,臺南市東區東門路2段號東門路2167,1,晴,40,交岔路,交叉路口,行車管制號誌,車與車,未依規定減速
11001AC191B2943,20210128,120.226249,22.995679,交通事故,其他,臺南市東區段號後甲國中便道,1,陰,40,單路部分,路段,無號誌,車與車,未靠右行駛
11001AC191B2946,20210128,120.229001,22.968797,交通事故,一般地址,臺南市東區崇德十八街段61號,1,晴,30,單路部分,路段,無號誌,車與車,未依規定讓車
11001AC191B2951,20210129,120.213767,22.988136,交通事故,一般地址,臺南市東區東門路1段84號,1,晴,40,單路部分,路段,無號誌,車與車,左轉彎未依規定
11001AC191B2952,20210129,120.211385,22.991385,交通事故,一般地址,臺南市東區北門路1段286號,1,晴,40,交岔路,交叉路口,無號誌,車與車,起步未注意其他車(人)安全
11001AC191B2958,20210129,120.233221,22.998051,交通事故,一般地址,臺南市東區莊敬路段296號,1,晴,50,單路部分,路段,行車管制號誌,車與車,迴轉未依規定
11001AC191B2968,20210123,120.224738,22.985032,交通事故,一般地址,臺南市東區裕農路段23號,1,晴,40,單路部分,路段,無號誌,車與車,未注意車前狀態
11001AC191B2977,20210128,120.233877,22.988691,交通事故,一般地址,臺南市東區中華東路1段269號,1,晴,40,圓環廣場,路段,行車管制號誌,車與車,未保持行車安全距離
11001AC191B2978,20210129,120.243103,22.989757,交通事故,其他,臺南市東區段號裕農路與裕農五街口,1,晴,50,交岔路,交叉路口,行車管制號誌,車與車,未依規定讓車
